ResponseID,Participation,GetStarted,PriorTraining.Course,PriorTraining.PI,PriorTraining.Self,PriorTraining.JC,PriorTraining.No,PriorTrainingTEXT,WhyParticipate.PeerRev,WhyParticipate.Lit,WhyParticipate.Productivity,WhyParticipate.OpenSci,WhyParticipate.Community,WhyParticipate.Visibility,WhyParticipateTEXT,BarriersParticipate,ReviewPreprint.Project,ReviewPreprint.Interest,ReviewPreprint.Expertise,ReviewPreprint.Learn,ReviewPreprint.Time,ReviewPreprintTEXT,NotReviewPreprint.Expertise,NotReviewPreprint.Time,NotReviewPreprint.How,NotReviewPreprint.COI,NotReviewPreprint.Interest,NotReviewPreprint.Recognition,NotReviewPreprint.Language,NotReviewPreprintTEXT,OtherActivities.Comment,OtherActivities.Connect,OtherActivities.PreprintJC,OtherActivities.preLight,OtherActivities.DontEngage,OtherActivitiesTEXT,ASAPbioCrowd,ASAPbioParticipation,NoPreprint,SatisfactionNo,BarriersNo,ASAPbioPos,ASAPbioNeg,ASAPbioParticipationPast,ASAPbioPosPast,ASAPbioNegPast,WhyStop.Enjoy,WhyStop.Recognition,WhyStop.Career,WhyStop.Topic,WhyStop.ProfDev,WhyStop.Time,WhyStopTEXT,WhyStopDetail,Nationality,CareerLocation,JobTitle,ScientificInterest,Discipline
Response013,0-1 years,[Free-text Response],FALSE,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,FALSE,FALSE,TRUE,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,"Yes, I used to be involved in ASAPbio's Crowd Preprint Review, but am no longer active",,,,,,,0-1 years,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,United Kingdom,Germany,Post-doctoral Fellow,Biology,Cancer Biology
Response014,2-4 years,[Free-text Response],FALSE,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,,,TRUE,TRUE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,"Yes, I used to be involved in ASAPbio's Crowd Preprint Review, but am no longer active",,,,,,,2-4 years,[Free-text Response],,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,France,United States,Associate Professor/Lecturer,Biology,Cell Biology
Response015,0-1 years,[Free-text Response],TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,[Free-text Response],TRUE,TRUE,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,"No, I've never participated in ASAPbio's Crowd Preprint Review",,,,,,,,,,,,,,,,,,Ghana,Ghana,Masters Student,Earth and environmental science,
Response016,2-4 years,[Free-text Response],FALSE,TRUE,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,,[Free-text Response],TRUE,TRUE,TRUE,FALSE,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,[Free-text Response],"Yes, I used to be involved in ASAPbio's Crowd Preprint Review, but am no longer active",,,,,,,2-4 years,[Free-text Response],[Free-text Response],FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,[Free-text Response],Portugal,Portugal,I'd prefer not to answer,Biology,Cell Biology
Response017,0-1 years,[Free-text Response],FALSE,FALSE,FALSE,TRUE,FALSE,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,[Free-text Response],FALSE,TRUE,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,"Yes, I am an active participant in ASAPbio's Crowd Preprint Review",0-1 years,1-3,I'm satisfied with the number of preprints I am reviewing.,,[Free-text Response],[Free-text Response],,,,,,,,,,,,Portugal,Portugal,Post-doctoral Fellow,Biology,Cell Biology
Response018,9+ years,[Free-text Response],FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,[Free-text Response],TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,TRUE,,"Yes, I am an active participant in ASAPbio's Crowd Preprint Review",9+ years,10-12,I'm satisfied with the number of preprints I am reviewing.,[Free-text Response],[Free-text Response],[Free-text Response],,,,,,,,,,,,Tanzania,Tanzania,Research Scientist,Biology,Molecular Biology
Response019,0-1 years,[Free-text Response],FALSE,FALSE,FALSE,TRUE,TRUE,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,[Free-text Response],TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,[Free-text Response],"Yes, I am an active participant in ASAPbio's Crowd Preprint Review",0-1 years,1-3,I'm unsatisfied with the number of preprints I am reviewing - I would like to review more.,[Free-text Response],[Free-text Response],[Free-text Response],,,,,,,,,,,,United Kingdom,Germany,PhD Student,Biology,Biophysics
Response020,0-1 years,[Free-text Response],TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,[Free-text Response],TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,[Free-text Response],"Yes, I used to be involved in ASAPbio's Crowd Preprint Review, but am no longer active",,,,,,,2-4 years,[Free-text Response],[Free-text Response],FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,[Free-text Response],India,United States,Post-doctoral Fellow,Biology,Cell Biology
Response021,0-1 years,[Free-text Response],FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,[Free-text Response],TRUE,TRUE,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,"No, I've never participated in ASAPbio's Crowd Preprint Review",,,,,,,,,,,,,,,,,,Germany,Denmark,Post-doctoral Fellow,Biology,Neuroscience
Response022,0-1 years,[Free-text Response],TRUE,TRUE,TRUE,TRUE,FALSE,[Free-text Response],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,[Free-text Response],TRUE,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,FALSE,,"Yes, I am an active participant in ASAPbio's Crowd Preprint Review",0-1 years,13+,I'm satisfied with the number of preprints I am reviewing.,[Free-text Response],[Free-text Response],[Free-text Response],,,,,,,,,,,,Kenya,Kenya,Research Scientist,Biology,Bioinformatics
Response023,0-1 years,,FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,TRUE,FALSE,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,"No, I've never participated in ASAPbio's Crowd Preprint Review",,,,,,,,,,,,,,,,,,Portugal,Portugal,PhD Student,Biology,Virology
Response024,0-1 years,[Free-text Response],FALSE,FALSE,FALSE,FALSE,FALSE,[Free-text Response],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,[Free-text Response],FALSE,TRUE,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,"Yes, I am an active participant in ASAPbio's Crowd Preprint Review",0-1 years,1-3,I'm unsatisfied with the number of preprints I am reviewing - I would like to review more.,[Free-text Response],[Free-text Response],[Free-text Response],,,,,,,,,,,,Ethiopia,Ethiopia,Associate Professor/Lecturer,Health Science,
Response025,0-1 years,[Free-text Response],TRUE,TRUE,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,[Free-text Response],[Free-text Response],FALSE,TRUE,TRUE,TRUE,TRUE,[Free-text Response],TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,"Yes, I am an active participant in ASAPbio's Crowd Preprint Review",0-1 years,1-3,I'm satisfied with the number of preprints I am reviewing.,,[Free-text Response],[Free-text Response],,,,,,,,,,,,China,United States,"Other, in academia",Biology,Genetics
Response026,2-4 years,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,"Yes, I used to be involved in ASAPbio's Crowd Preprint Review, but am no longer active",,,,,,,2-4 years,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,India,India,Post-doctoral Fellow,Biology,Microbiology
Response027,0-1 years,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,FALSE,TRUE,FALSE,TRUE,TRUE,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,"Yes, I used to be involved in ASAPbio's Crowd Preprint Review, but am no longer active",,,,,,,0-1 years,,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,Taiwan,United States,Post-doctoral Fellow,Biology,Biophysics
Response028,2-4 years,[Free-text Response],FALSE,TRUE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,TRUE,TRUE,TRUE,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,"No, I've never participated in ASAPbio's Crowd Preprint Review",,,,,,,,,,,,,,,,,,Germany,Switzerland,Research Scientist,Biology,Cell Biology
Response029,0-1 years,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,,FALSE,TRUE,TRUE,FALSE,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,"Yes, I am an active participant in ASAPbio's Crowd Preprint Review",0-1 years,4-6,I'm satisfied with the number of preprints I am reviewing.,[Free-text Response],,[Free-text Response],,,,,,,,,,,,United States,United States,"Other, in academia",Meta-research,
Response030,0-1 years,[Free-text Response],FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,[Free-text Response],TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,[Free-text Response],"Yes, I am an active participant in ASAPbio's Crowd Preprint Review",0-1 years,4-6,I'm satisfied with the number of preprints I am reviewing.,,,[Free-text Response],,,,,,,,,,,,India,India,Technician/Research Assistant,Biology,Bioengineering
Response031,0-1 years,[Free-text Response],FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,[Free-text Response],TRUE,TRUE,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,"Yes, I used to be involved in ASAPbio's Crowd Preprint Review, but am no longer active",,,,,,,0-1 years,[Free-text Response],[Free-text Response],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[Free-text Response],[Free-text Response],Chile,Chile,I'd prefer not to answer,Biology,Cell Biology
Response032,0-1 years,[Free-text Response],FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,[Free-text Response],FALSE,TRUE,FALSE,TRUE,FALSE,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,"Yes, I am an active participant in ASAPbio's Crowd Preprint Review",0-1 years,1-3,I'm satisfied with the number of preprints I am reviewing.,,,,,,,,,,,,,,,India,United States,Research Scientist,Biology,Developmental Biology
Response033,0-1 years,[Free-text Response],TRUE,FALSE,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,[Free-text Response],FALSE,TRUE,TRUE,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,"Yes, I used to be involved in ASAPbio's Crowd Preprint Review, but am no longer active",,,,,,,0-1 years,[Free-text Response],[Free-text Response],FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,United States,United States,Associate Professor/Lecturer,Meta-research,
Response034,2-4 years,[Free-text Response],TRUE,FALSE,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,[Free-text Response],FALSE,TRUE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,,"Yes, I am an active participant in ASAPbio's Crowd Preprint Review",2-4 years,7-9,I'm satisfied with the number of preprints I am reviewing.,,,,,,,,,,,,,,,India,United States,Post-doctoral Fellow,Biology,Biochemistry
Response035,0-1 years,[Free-text Response],TRUE,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,,"Yes, I used to be involved in ASAPbio's Crowd Preprint Review, but am no longer active",,,,,,,2-4 years,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[Free-text Response],,India,Portugal,Post-doctoral Fellow,Biology,Molecular Biology
Response036,0-1 years,[Free-text Response],FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,[Free-text Response],TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,"No, I've never participated in ASAPbio's Crowd Preprint Review",,,,,,,,,,,,,,,,,,Brazil,Brazil,Research Scientist,Medicine,
Response037,0-1 years,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,TRUE,FALSE,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,,"No, I've never participated in ASAPbio's Crowd Preprint Review",,,,,,,,,,,,,,,,,,Algeria,Algeria,"Other, in academia",Biology,Microbiology
Response038,0-1 years,,FALSE,FALSE,TRUE,FALSE,TRUE,,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,,,TRUE,TRUE,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,"Yes, I am an active participant in ASAPbio's Crowd Preprint Review",0-1 years,1-3,I'm satisfied with the number of preprints I am reviewing.,,,,,,,,,,,,,,,Singapore,Singapore,Post-doctoral Fellow,Biology,Molecular Biology
Response039,0-1 years,[Free-text Response],FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[Free-text Response],[Free-text Response],FALSE,TRUE,FALSE,TRUE,FALSE,[Free-text Response],TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,"No, I've never participated in ASAPbio's Crowd Preprint Review",,,,,,,,,,,,,,,,,,United States,I'd prefer not to answer,Masters Student,Biology,[Free-text Response]
